Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Special,Notes
Bear,Legs,PreRaid,Clefthoof Hide Leggings,Quest,Showdown (BEM),,,243 Armor; 30 Str; 30 Agi; 24 Sta,,
Bear,Legs,PreRaid,Shattrath Leggings,Quest,Special Delivery to Shattrath City (Shattrath City),,,243 Armor; 35 Str; 25 Agi; 27 Sta,,
Bear,Feet,PreRaid,Heavy Clefthoof Boots,Auction House,,,,394 Armor; 20 Str; 30 Sta,,
Bear,Feet,PreRaid,Barkchip Boots,Dungeon Drop,,Underbog,Normal,352 Armor; 24 Str; 24 Agi; 36 Sta; 21 Int,,The Black Stalker
Bear,Feet,PreRaid,Boots of the Shadow Flame,Dungeon Drop,,Blackwing Lair,Normal,310 Armor; 22 Sta; 44 AP; 20 Hit,,Nefarian
Bear,Feet,PreRaid,Boots of the Shifting Sands,Dungeon Drop,,Botanica,Normal,201 Armor; 30 Sta; 40 AP,,Laj
Bear,Feet,PreRaid,Shadowstep Striders,Dungeon Drop,,Arcatraz,Heroic,240 Armor; 31 Agi; 30 Sta; 54 AP,,Harbinger Skyriss
Bear,Feet,PreRaid,Supple Leather Boots,Quest,Whispers of the Raven God (BEM),,,352 Armor; 22 Str; 11 Agi; 24 Sta,,
Bear,Feet,PreRaid,General's Leather Boots,PvP,,,,267 Armor; 27 Agi; 39 Sta; 30 AP,,
Bear,Feet,PreRaid,Marshal's Leather Boots,PvP,,,,267 Armor; 27 Agi; 39 Sta; 30 AP,,
Bear,Neck,PreRaid,Bone Chain Necklace,Dungeon Drop,,Underbog,Normal,19 Agi; 18 Sta; 36 AP,,The Black Stalker
Bear,Neck,PreRaid,Traitor's Noose,Dungeon Drop,,Slave Pens,Heroic,18 Sta; 38 AP,,Mennu the Betrayer
Bear,Neck,PreRaid,Choker of Vile Intent,Dungeon Token,,,,20 Agi; 18 Sta; 42 AP,,25 Badges of Justice
Bear,Neck,PreRaid,Chain of Glowing Tendrils,Quest,Hitting the Motherlode (NS),,,18 Str; 17 Agi; 25 Sta,,
Bear,Neck,PreRaid,Insignia of the Mag'hari Hero,Quest,Hero of the Mag'har (Nag),,,21 Sta; 30 AP,,
Bear,Neck,PreRaid,Talon Lord's Collar,Quest (Dung),Brother Against Brother (Seth),,,19 Sta; 38 AP,,
Bear,Neck,PreRaid,Pendant of Triumph,PvP,,,,28 Sta; 36 AP,,
Bear,Ring,PreRaid,Iron Band of the Unbreakable,Dungeon Drop,,Old Hillsbrad Foothills,Normal,170 Armor; 27 Sta,,Lieutenant Drake
Bear,Ring,PreRaid,Mok'Nathal Clan Ring,Dungeon Drop,,Hellfire Ramparts,Normal,180 Armor; 16 Sta,,Vazruden
Bear,Ring,PreRaid,Nexus-Prince's Ring of Balance,Dungeon Drop,,Mana-Tombs,Heroic,20 Str; 19 Agi; 30 Sta,,Yor
Bear,Ring,PreRaid,Ravenclaw Band,Dungeon Drop,,Sethekk Halls,Normal,20 Agi; 15 Sta; 30 AP,,Talon King Ikiss
Bear,Ring,PreRaid,Band of the Exorcist,Dungeon Token,,,,24 Sta; 34 AP,,50 Spirit Shards
Bear,Ring,PreRaid,Ring of Unyielding Force,Dungeon Token,,,,294 Armor; 31 Sta,,25 Badges of Justice
Bear,Ring,PreRaid,Shapeshifter's Signet,Reputation,,,,25 Agi; 18 Sta,,Lower City - Exalted
Bear,Trinket,PreRaid,Gnomish Poultryizer,Auction House,,,,45 Sta,"Use: Turns the target into a chicken for 15 sec.  Well, that is assuming the transmogrification polarity has not been reversed",
Bear,Trinket,PreRaid,Goblin Rocket Launcher,Auction House,,,,45 Sta,Use: Fire a powerful rocket at the enemy that does 960 to 1440 damage and stuns them for 3 sec.  This thing has quite a kick though,
Bear,Trinket,PreRaid,Abacus of Violent Odds,Dungeon Drop,,Mechanar,Normal,64 AP; 260 Haste,Use: Increases haste rating by 260 for 10 sec,Pathaleon the Calculator
Bear,Trinket,PreRaid,Argussian Compass,Dungeon Drop,,Underbog,Normal,36 Sta,"Use: Reduces damage from each attack by 68, up to a total of 1150 damage absorbed. Lasts 20 sec",The Black Stalker
Bear,Trinket,PreRaid,Drake Fang Talisman,Dungeon Drop,,Blackwing Lair,Normal,56 AP; 12 Dodge; 20 Hit,,Ebonroc
Bear,Trinket,PreRaid,Hourglass of the Unraveller,Dungeon Drop,,Black Morass,Normal,,,Temporus
Bear,Trinket,PreRaid,Icon of Unyielding Courage,Dungeon Drop,,Blood Furnace,Heroic,,Use: Your attacks ignore 600 of your enemies' armor for 20 sec,Keli'dan the Breaker
Bear,Trinket,PreRaid,Slayer's Crest,Dungeon Drop,,Naxxramas,Normal,64 AP,Use: Increases attack power by 260 for 20 sec,Sapphiron
Bear,Trinket,PreRaid,Bloodlust Brooch,Dungeon Token,,,,72 AP,Use: Increases attack power by 278 for 20 sec,41 Badges of Justice
Bear,Trinket,PreRaid,Mark of the Champion,Quest,The Fall of Kel'Thuzad (Naxx),,,150 AP,,
Bear,Two Hand,PreRaid,Staff of Natural Fury,Auction House,,,,320 Armor; 65.83 DPS; 35 Str; 31 Sta; 712 AP,Equip: Reduces the base Mana cost of your shapeshifting spells by 200,World Drop
Bear,Two Hand,PreRaid,Draenic Wildstaff,Dungeon Drop,,Auchenai Crypts,Heroic,62.92 DPS; 34 Str; 32 Agi; 33 Sta; 539 AP,,Avatar of the Martyred
Bear,Two Hand,PreRaid,Dreamer's Dragonstaff,Dungeon Drop,,Botanica,Normal,62.92 DPS; 46 Str; 27 Agi; 28 Sta; 539 AP,,Thorngrin the Tender
Bear,Two Hand,PreRaid,Feral Staff of Lashing,Dungeon Drop,,Botanica,Heroic,300 Armor; 71.17 DPS; 36 Str; 35 Agi; 34 Sta; 754 AP,,Warp Splinter
Bear,Two Hand,PreRaid,Greatstaff of the Leviathan,Dungeon Drop,,Underbog,Normal,360 Armor; 62.92 DPS; 39 Str; 36 Sta; 539 AP,,Ghaz'an
Bear,Two Hand,PreRaid,Fleshling Simulation Staff,Quest,Nexus-King Salhadaar (NS),,,61.46 DPS; 27 Str; 27 Agi; 27 Sta; 457 AP,,
Bear,Two Hand,PreRaid,Earthwarden,Reputation,,,,500 Armor; 65.94 DPS; 39 Sta; 712 AP,,Cenarion Expedition - Exalted
Bear,Two Hand,PreRaid,Grand Marshal's Maul,PvP,,,,62.92 DPS; 28 Str; 42 Sta; 539 AP,,
Bear,Two Hand,PreRaid,High Warlord's Maul,PvP,,,,62.92 DPS; 28 Str; 42 Sta; 539 AP,,
Bear,Ranged/Relic,PreRaid,Idol of Brutality,Dungeon Drop,,Stratholme,Normal,,Equip: Increases the damage dealt by your Maul ability by 50 and Swipe ability by 10,Magistrate Barthilas
Bear,Ranged/Relic,PreRaid,Idol of Ursoc,Dungeon Drop,,Underbog,Normal,,,Hungarfen
Bear,Ranged/Relic,PreRaid,Idol of the Wild,Quest,Colossal Menace (HFP),,,,Equip: Increases the damage dealt by Mangle (Cat) by 24 and the damage dealt by Mangle (Bear) by 52,
Cat,Head,PreRaid,Wolfshead Helm,Auction House,,,,109 Armor; 10 Spi,"Equip: When shapeshifting into Cat form the Druid gains 20 energy, when shapeshifting into Bear form the Druid gains 5 rage",
Cat,Shoulder,PreRaid,Bladed Shoulderpads of the Merciless,Dungeon Drop,,Karazhan,Normal,273 Armor; 30 Sta; 58 AP,,Chess Event
Cat,Shoulder,PreRaid,Mantle of Perenolde,Dungeon Drop,,Old Hillsbrad Foothills,Normal,197 Armor; 24 Sta; 20 AP,,Epoch Hunter
Cat,Shoulder,PreRaid,Sun-Gilded Shouldercaps,Dungeon Drop,,Black Morass,Normal,214 Armor; 25 Agi; 26 Sta; 48 AP,,Chrono Lord Deja
Cat,Shoulder,PreRaid,Wastewalker Shoulderpads,Dungeon Drop,,Auchenai Crypts,Heroic,219 Armor; 25 Agi; 13 Sta; 34 AP; 35 Hit,,Avatar of the Martyred
Cat,Shoulder,PreRaid,Expedition Scout's Epaulets,Quest (Dung),Fel Embers (SH),,,217 Armor; 25 Agi; 50 AP,,
Cat,Back,PreRaid,Cloak of the Craft,Auction House,,,,70 Armor; 25 Agi; 20 AP,,World Drop
Cat,Back,PreRaid,Vengeance Wrap,Auction House,,,,89 Armor; 52 AP,,
Cat,Back,PreRaid,Auchenai Death Shroud,Dungeon Drop,,Auchenai Crypts,Heroic,78 Armor; 15 Agi; 15 Sta; 36 AP,,Avatar of the Martyred
Cat,Back,PreRaid,Blood Knight War Cloak,Dungeon Token,,,,93 Armor; 23 Agi; 22 Sta; 48 AP,,25 Badges of Justice
Cat,Back,PreRaid,Delicate Green Poncho,Quest,Bring Me The Egg! (Nag),,,66 Armor; 14 Agi; 19 Sta; 28 AP,,
Cat,Back,PreRaid,Nomad's Woven Cloak,Quest,Bring Me The Egg! (Nag),,,66 Armor; 14 Str; 14 Agi; 21 Sta,,
Cat,Chest,PreRaid,Primalstrike Vest,Auction House,,,,379 Armor; 38 Agi; 39 Sta; 108 AP,,
Cat,Chest,PreRaid,Tunic of Assassination,Dungeon Drop,,Mechanar,Normal,292 Armor; 28 Agi; 21 Sta; 54 AP,,Pathaleon the Calculator
Cat,Chest,PreRaid,Vest of Vengeance,Dungeon Drop,,Blood Furnace,Normal,232 Armor; 27 Agi; 18 Sta; 42 AP,,Keli'dan the Breaker
Cat,Chest,PreRaid,Auchenai Monk's Tunic,Quest (Dung),Everything Will Be Alright (AC),,,255 Armor; 24 Agi; 18 AP,,
Cat,Wrist,PreRaid,Nightfall Wristguards,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,153 Armor; 24 Agi; 22 Sta; 46 AP,,Epoch Hunter
Cat,Wrist,PreRaid,Spymistress's Wristguards,Quest (Dung),The Soul Devices (SL),,,128 Armor; 18 Agi; 15 Sta,,
Cat,Hands,PreRaid,Fel Leather Gloves,Auction House,,,,169 Armor; 36 AP; 20 Dodge,,
Cat,Hands,PreRaid,Windslayer Wraps,Auction House,,,,208 Armor; 36 Str; 18 Agi; 25 Sta,,
Cat,Hands,PreRaid,Gloves of the Unbound,Dungeon Drop,,Arcatraz,Normal,183 Armor; 27 Agi; 20 Sta; 38 AP,,Wrath-Scryer Soccothrates
Cat,Hands,PreRaid,Handgrips of Assassination,Dungeon Drop,,Black Morass,Normal,183 Armor; 25 Agi; 24 Sta; 50 AP,,Aeonus
Cat,Hands,PreRaid,Wastewalker Gloves,Dungeon Drop,,Shattered Halls,Normal,183 Armor; 32 Agi; 33 Sta; 16 AP; 35 Hit,,Warchief Kargath Bladefist
Cat,Waist,PreRaid,Dunewind Sash,Dungeon Drop,,Underbog,Normal,164 Armor; 21 Agi; 16 Sta; 50 AP,,Ghaz'an
Cat,Waist,PreRaid,Epoch's Whispering Cinch,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,164 Armor; 25 Agi; 24 Sta; 40 AP,,Epoch Hunter
Cat,Waist,PreRaid,Girdle of the Deathdealer,Dungeon Drop,,Black Morass,Heroic,196 Armor; 28 Agi; 28 Sta; 56 AP,,Aeonus
Cat,Waist,PreRaid,Socrethar's Girdle,Quest,Turning Point (NS),,,156 Armor; 23 Agi; 21 Sta; 48 AP,,
Cat,Waist,PreRaid,Naaru Belt of Precision,Quest (Dung),How to Break Into the Arcatraz (TK),,,164 Armor; 25 Agi; 44 AP,,
Cat,Legs,PreRaid,Fel Leather Leggings,Auction House,,,,249 Armor; 52 AP; 20 Dodge,,
Cat,Legs,PreRaid,Forestwalker Kilt,Dungeon Drop,,Mana Tombs,Heroic,459 Armor; 33 Str; 26 Agi; 24 Sta; 27 Int,,Nexus-Prince Shaffar
Cat,Legs,PreRaid,Midnight Legguards,Dungeon Drop,,Slave Pens,Heroic,305 Armor; 30 Sta; 64 AP,,Quagmirran
Cat,Legs,PreRaid,Wastewalker Leggings,Dungeon Drop,,Mana Tombs,Heroic,256 Armor; 31 Agi; 27 Sta; 28 AP; 35 Hit,,Nexus-Prince Shaffar
Cat,Legs,PreRaid,Clefthoof Hide Leggings,Quest,Showdown (BEM),,,243 Armor; 30 Str; 30 Agi; 24 Sta,,
Cat,Legs,PreRaid,Shattrath Leggings,Quest,Special Delivery to Shattrath City (Shattrath City),,,243 Armor; 35 Str; 25 Agi; 27 Sta,,
Cat,Feet,PreRaid,Fel Leather Boots,Auction House,,,,196 Armor; 36 AP; 20 Dodge,,
Cat,Feet,PreRaid,The Master's Treads,Auction House,,,,191 Armor; 24 Agi; 19 Sta; 48 AP,Equip: Increases your effective stealth level by 1,World Drop
Cat,Feet,PreRaid,Shadowstep Striders,Dungeon Drop,,Arcatraz,Heroic,240 Armor; 31 Agi; 30 Sta; 54 AP,,Harbinger Skyriss
Cat,Feet,PreRaid,Felboar Hide Shoes,Quest,The Cipher of Damnation - The Third Fragment Recovered (SMV),,,191 Armor; 18 Agi; 15 Sta; 68 AP,,
Cat,Neck,PreRaid,Braided Eternium Chain,Auction House,,,,,Use: Increases the critical strike rating of nearby party members by 28 for 30 min; Equip: +5 Weapon Damage,
Cat,Neck,PreRaid,Necklace of Trophies,Auction House,,,,22 Str; 15 Agi,,World Drop
Cat,Neck,PreRaid,Bone Chain Necklace,Dungeon Drop,,Underbog,Normal,19 Agi; 18 Sta; 36 AP,,The Black Stalker
Cat,Neck,PreRaid,Prestor's Talisman of Connivery,Dungeon Drop,,Blackwing Lair,Normal,25 Agi; 22 AP; 10 Hit,,Nefarian
Cat,Neck,PreRaid,Choker of Vile Intent,Dungeon Token,,,,20 Agi; 18 Sta; 42 AP,,25 Badges of Justice
Cat,Neck,PreRaid,Earthen Mark of Razing,Quest,Gurok the Usurper (Nag),,,23 Agi; 20 AP,,
Cat,Neck,PreRaid,Haramad's Bargain,Reputation,,,,26 Str; 25 Agi,,The Consortium - Exalted
Cat,Ring,PreRaid,Ravenclaw Band,Dungeon Drop,,Sethekk Halls,Normal,20 Agi; 15 Sta; 30 AP,,Talon King Ikiss
Cat,Ring,PreRaid,Shaffar's Band of Brutality,Dungeon Drop,,Mana-Tombs,Heroic,40 AP,,Yor
Cat,Ring,PreRaid,Kaylaan's Signet,Quest,Deathblow to the Legion (NS),,,15 Agi; 50 AP,,
Cat,Ring,PreRaid,Overseer's Signet,Quest,Shutting Down Manaforge Ara (NS),,,25 Str; 15 Agi,,
Cat,Ring,PreRaid,Slayer's Mark of the Redemption,Quest,Dissension Amongst the Ranks... (SMV),,,15 Agi; 50 AP,,
Cat,Ring,PreRaid,Shapeshifter's Signet,Reputation,,,,25 Agi; 18 Sta,,Lower City - Exalted
Cat,Trinket,PreRaid,Abacus of Violent Odds,Dungeon Drop,,Mechanar,Normal,64 AP; 260 Haste,Use: Increases haste rating by 260 for 10 sec,Pathaleon the Calculator
Cat,Trinket,PreRaid,Drake Fang Talisman,Dungeon Drop,,Blackwing Lair,Normal,56 AP; 12 Dodge; 20 Hit,,Ebonroc
Cat,Trinket,PreRaid,Hourglass of the Unraveller,Dungeon Drop,,Black Morass,Normal,,,Temporus
Cat,Trinket,PreRaid,Icon of Unyielding Courage,Dungeon Drop,,Blood Furnace,Heroic,,Use: Your attacks ignore 600 of your enemies' armor for 20 sec,Keli'dan the Breaker
Cat,Trinket,PreRaid,Slayer's Crest,Dungeon Drop,,Naxxramas,Normal,64 AP,Use: Increases attack power by 260 for 20 sec,Sapphiron
Cat,Trinket,PreRaid,Bloodlust Brooch,Dungeon Token,,,,72 AP,Use: Increases attack power by 278 for 20 sec,41 Badges of Justice
Cat,Trinket,PreRaid,Core of Ar'kelos,Quest,Ar'kelos the Guardian (NS),,,52 AP,Use: Increases your melee and ranged attack power by 200. Effect lasts for 20 sec,
Cat,Trinket,PreRaid,Mark of the Champion,Quest,The Fall of Kel'Thuzad (Naxx),,,150 AP,,
Cat,Two Hand,PreRaid,Staff of Natural Fury,Auction House,,,,320 Armor; 65.83 DPS; 35 Str; 31 Sta; 712 AP,Equip: Reduces the base Mana cost of your shapeshifting spells by 200,World Drop
Cat,Two Hand,PreRaid,Draenic Wildstaff,Dungeon Drop,,Auchenai Crypts,Heroic,62.92 DPS; 34 Str; 32 Agi; 33 Sta; 539 AP,,Avatar of the Martyred
Cat,Two Hand,PreRaid,Dreamer's Dragonstaff,Dungeon Drop,,Botanica,Normal,62.92 DPS; 46 Str; 27 Agi; 28 Sta; 539 AP,,Thorngrin the Tender
Cat,Two Hand,PreRaid,Feral Staff of Lashing,Dungeon Drop,,Botanica,Heroic,300 Armor; 71.17 DPS; 36 Str; 35 Agi; 34 Sta; 754 AP,,Warp Splinter
Cat,Two Hand,PreRaid,Fleshling Simulation Staff,Quest,Nexus-King Salhadaar (NS),,,61.46 DPS; 27 Str; 27 Agi; 27 Sta; 457 AP,,
Cat,Two Hand,PreRaid,Earthwarden,Reputation,,,,500 Armor; 65.94 DPS; 39 Sta; 712 AP,,Cenarion Expedition - Exalted
Cat,Two Hand,PreRaid,Grand Marshal's Maul,PvP,,,,62.92 DPS; 28 Str; 42 Sta; 539 AP,,
Cat,Two Hand,PreRaid,High Warlord's Maul,PvP,,,,62.92 DPS; 28 Str; 42 Sta; 539 AP,,
Cat,Ranged/Relic,PreRaid,Idol of Feral Shadows,Dungeon Drop,,Arcatraz,Normal,,,Zereketh the Unbound
Cat,Ranged/Relic,PreRaid,Everbloom Idol,Dungeon Token,,,,,Equip: Increases the damage dealt by Shred by 88,15 Badges of Justice
Cat,Ranged/Relic,PreRaid,Idol of the Wild,Quest,Colossal Menace (HFP),,,,Equip: Increases the damage dealt by Mangle (Cat) by 24 and the damage dealt by Mangle (Bear) by 52,
Restoration,Head,PreRaid,Hood of Primal Life,Auction House,,,,271 Armor; 34 Sta; 37 Int; 31 Spi; 68 Healing; 23 Spell Dmg,,
Restoration,Head,PreRaid,Whitemend Hood,Auction House,,,,145 Armor; 15 Sta; 15 Int; 79 Healing; 27 Spell Dmg; 11 MP5,,
Restoration,Head,PreRaid,Hallowed Crown,Dungeon Drop,,Arcatraz,Normal,127 Armor; 12 Sta; 24 Int; 26 Spi; 57 Healing; 19 Spell Dmg,,Harbinger Skyriss
Restoration,Head,PreRaid,Moonglade Cowl,Dungeon Drop,,Botanica,Normal,237 Armor; 24 Str; 8 Agi; 18 Sta; 25 Int; 13 Spi; 53 Healing; 18 Spell Dmg,,Warp Splinter
Restoration,Head,PreRaid,Raven-Heart Headdress,Dungeon Drop,,Auchenai Crypts,Normal,208 Armor; 22 Str; 24 Sta; 23 Int; 16 Spi; 35 Healing; 12 Spell Dmg,,Shirrak the Dead Watcher
Restoration,Head,PreRaid,Cowl of Naaru Blessings,Dungeon Token,,,,151 Armor; 28 Sta; 29 Int; 23 Spi; 66 Healing; 22 Spell Dmg,,50 Badges of Justice
Restoration,Head,PreRaid,Watcher's Cowl,Reputation,,,,127 Armor; 21 Sta; 36 Int; 14 Spi; 79 Healing; 27 Spell Dmg,,Cenarion Expedition - Revered
Restoration,Head,PreRaid,Gladiator's Kodohide Helm,PvP,,,,356 Armor; 46 Sta; 33 Int; 75 Healing; 25 Spell Dmg; 6 MP5,,
Restoration,Shoulder,PreRaid,Primal Mooncloth Shoulders,Auction House,,,,133 Armor; 16 Int; 15 Spi; 92 Healing; 31 Spell Dmg; 7 MP5,,
Restoration,Shoulder,PreRaid,Hallowed Pauldrons,Dungeon Drop,,Shadow Labyrinth,Normal,117 Armor; 10 Sta; 17 Int; 20 Spi; 42 Healing; 14 Spell Dmg,,Grandmaster Vorpil
Restoration,Shoulder,PreRaid,Moonglade Shoulders,Dungeon Drop,,Steamvault,Normal,219 Armor; 13 Str; 12 Agi; 18 Sta; 19 Int; 18 Spi; 29 Healing; 10 Spell Dmg,,Warlord Kalithresh
Restoration,Shoulder,PreRaid,Pauldrons of Sufferance,Dungeon Drop,,Old Hillsbrad Foothills,Normal,105 Armor; 18 Sta; 13 Int; 19 Spi; 35 Healing; 12 Spell Dmg,,Epoch Hunter
Restoration,Shoulder,PreRaid,Ravenwing Pauldrons,Dungeon Drop,,Old Hillsbrad Foothills,Normal,197 Armor; 19 Str; 19 Sta; 13 Int; 14 Spi; 26 Healing; 9 Spell Dmg,,Lieutenant Drake
Restoration,Shoulder,PreRaid,Gladiator's Kodohide Spaulders,PvP,,,,331 Armor; 33 Sta; 21 Int; 46 Healing; 16 Spell Dmg; 4 MP5,,
Restoration,Back,PreRaid,Lifegiving Cloak,Auction House,,,,85 Armor; 13 Int; 64 Healing; 22 Spell Dmg; 5 MP5,,World Drop
Restoration,Back,PreRaid,White Remedy Cape,Auction House,,,,76 Armor; 59 Healing; 20 Spell Dmg; 7 MP5,,
Restoration,Back,PreRaid,Avian Cloak of Feathers,Dungeon Drop,,Sethekk Halls,Normal,78 Armor; 18 Int; 12 Spi; 42 Healing; 14 Spell Dmg; 5 MP5,,Talon King Ikiss
Restoration,Back,PreRaid,Cloak of Suturing,Dungeon Drop,,Naxxramas,Normal,72 Armor; 12 Int; 12 Spi; 48 Healing; 16 Spell Dmg; 5 MP5,,Patchwerk
Restoration,Back,PreRaid,Cloak of the Everliving,Dungeon Drop,,Hellfire Ramparts,Heroic,78 Armor; 53 Healing; 18 Spell Dmg; 9 MP5,,Watchkeeper Gargolmar
Restoration,Back,PreRaid,Light-Touched Stole of Altruism,Dungeon Drop,,Auchenai Crypts,Heroic,93 Armor; 22 Sta; 21 Int; 55 Healing; 19 Spell Dmg,,Exarch Maladaar
Restoration,Back,PreRaid,Bishop's Cloak,Dungeon Token,,,,93 Armor; 16 Sta; 17 Int; 46 Healing; 16 Spell Dmg; 8 MP5,,25 Badges of Justice
Restoration,Chest,PreRaid,Living Crystal Breastplate,Auction House,,,,255 Armor; 25 Sta; 23 Int; 17 Spi; 29 Spell Dmg/Heal; 55 Healing; 19 Spell Dmg,,
Restoration,Chest,PreRaid,Primal Mooncloth Robe,Auction House,,,,202 Armor; 20 Int; 20 Spi; 121 Healing; 41 Spell Dmg; 10 MP5,,
Restoration,Chest,PreRaid,Windhawk Hauberk,Auction House,,,,379 Armor; 28 Sta; 29 Int; 29 Spi; 32 Spell Dmg/Heal; 42 Healing; 14 Spell Dmg; 8 MP5,,
Restoration,Chest,PreRaid,Hallowed Garments,Dungeon Drop,,Shadow Labyrinth,Normal,156 Armor; 12 Sta; 26 Int; 26 Spi; 57 Healing; 19 Spell Dmg,,Murmur
Restoration,Chest,PreRaid,Moonglade Robe,Dungeon Drop,,Mechanar,Normal,292 Armor; 25 Str; 17 Agi; 16 Sta; 17 Int; 14 Spi; 55 Healing; 19 Spell Dmg,,Pathaleon the Calculator
Restoration,Chest,PreRaid,Raiments of Divine Authority,Dungeon Drop,,Blood Furnace,Normal,122 Armor; 16 Sta; 21 Int; 18 Spi; 46 Healing; 16 Spell Dmg,,Keli'dan the Breaker
Restoration,Chest,PreRaid,Raiments of Nature's Breath,Dungeon Drop,,Hellfire Ramparts,Heroic,292 Armor; 25 Sta; 32 Int; 18 Spi; 75 Healing; 25 Spell Dmg; 7 MP5,,Vazruden
Restoration,Chest,PreRaid,Robe of Effervescent Light,Dungeon Drop,,Blood Furnace,Heroic,156 Armor; 25 Sta; 33 Int; 18 Spi; 73 Healing; 25 Spell Dmg; 7 MP5,,Keli'dan the Breaker
Restoration,Chest,PreRaid,Gladiator's Kodohide Tunic,PvP,,,,429 Armor; 42 Sta; 30 Int; 75 Healing; 25 Spell Dmg; 6 MP5,,
Restoration,Wrist,PreRaid,Bracers of Havok,Auction House,,,,67 Armor; 12 Int; 30 Spell Dmg/Heal,,
Restoration,Wrist,PreRaid,Windhawk Bracers,Auction House,,,,159 Armor; 22 Sta; 17 Int; 7 Spi; 16 Spell Dmg/Heal; 31 Healing; 11 Spell Dmg; 8 MP5,,
Restoration,Wrist,PreRaid,Bands of the Benevolent,Dungeon Drop,,Sethekk Halls,Heroic,81 Armor; 18 Sta; 20 Int; 18 Spi; 46 Healing; 16 Spell Dmg,,Talon King Ikiss
Restoration,Wrist,PreRaid,Bracelets of Royal Redemption,Dungeon Drop,,Ahn'Qiraj,Normal,61 Armor; 8 Sta; 10 Int; 9 Spi; 53 Healing; 18 Spell Dmg,,Emperor Vek'nilash
Restoration,Wrist,PreRaid,Lucid Dream Bracers,Dungeon Drop,,Mana Tombs,Heroic,128 Armor; 13 Sta; 15 Int; 17 Spi; 37 Healing; 13 Spell Dmg,,Nexus-Prince Shaffar
Restoration,Wrist,PreRaid,Dreamwalker Wristguards,Quest,Dreamwalker Wristguards (Naxx),,,126 Armor; 14 Sta; 16 Int; 40 Healing; 14 Spell Dmg; 5 MP5,,
Restoration,Wrist,PreRaid,Shattrath Wraps,Quest (Dung),The Soul Devices (SL),,,68 Armor; 15 Sta; 15 Int; 21 Spell Dmg/Heal,,
Restoration,Wrist,PreRaid,Bindings of the Timewalker,Reputation,,,,78 Armor; 24 Sta; 12 Int; 64 Healing; 22 Spell Dmg,,Keepers of Time - Exalted
Restoration,Wrist,PreRaid,Marshal's Kodohide Bracers,PvP,,,,187 Armor; 22 Sta; 13 Int; 22 Healing; 8 Spell Dmg; 4 MP5,,
Restoration,Hands,PreRaid,Gloves of the Living Touch,Auction House,,,,208 Armor; 16 Sta; 18 Int; 22 Spi; 77 Healing; 26 Spell Dmg,,
Restoration,Hands,PreRaid,Bloody Surgeon's Mitts,Dungeon Drop,,Blood Furnace,Normal,76 Armor; 10 Sta; 20 Int; 12 Spi; 31 Healing; 11 Spell Dmg,,Broggok
Restoration,Hands,PreRaid,Hallowed Handwraps,Dungeon Drop,,Shattered Halls,Normal,97 Armor; 19 Sta; 20 Int; 26 Spi; 51 Healing; 17 Spell Dmg,,Warchief Kargath Bladefist
Restoration,Hands,PreRaid,Natural Mender's Wraps,Dungeon Drop,,Auchenai Crypts,Normal,183 Armor; 22 Sta; 25 Int; 18 Spi; 55 Healing; 19 Spell Dmg,,Avatar of the Martyred
Restoration,Hands,PreRaid,Prismatic Mittens of Mending,Dungeon Drop,,Botanica,Normal,97 Armor; 23 Sta; 26 Int; 55 Healing; 19 Spell Dmg; 7 MP5,,Commander Sarannis
Restoration,Hands,PreRaid,Wasphide Gauntlets,Dungeon Drop,,Ahn'Qiraj,Normal,164 Armor; 14 Sta; 15 Int; 16 Spi; 53 Healing; 18 Spell Dmg,,Princess Huhuran
Restoration,Hands,PreRaid,Cryo-mitts,Quest (Dung),Someone Else's Hard Work Pays Off (MT),,,156 Armor; 22 Int; 16 Spi; 57 Healing; 19 Spell Dmg,,
Restoration,Hands,PreRaid,Gloves of Preservation,Quest (Dung),Fel Embers (SH),,,181 Armor; 25 Int; 25 Spi; 53 Healing; 18 Spell Dmg,,
Restoration,Hands,PreRaid,Gladiator's Kodohide Gloves,PvP,,,,283 Armor; 33 Sta; 27 Int; 62 Healing; 21 Spell Dmg; 6 MP5,Equip: Reduces the cast time of your Cyclone spell by 0,
Restoration,Waist,PreRaid,Primal Mooncloth Belt,Auction House,,,,109 Armor; 12 Int; 11 Spi; 81 Healing; 27 Spell Dmg; 8 MP5,,
Restoration,Waist,PreRaid,Windhawk Belt,Auction House,,,,205 Armor; 17 Sta; 19 Int; 20 Spi; 23 Spell Dmg/Heal; 42 Healing; 14 Spell Dmg; 8 MP5,,
Restoration,Waist,PreRaid,Cord of Belief,Dungeon Drop,,Slave Pens,Heroic,88 Armor; 23 Int; 20 Spi; 46 Healing; 16 Spell Dmg; 8 MP5,,Mennu the Betrayer
Restoration,Waist,PreRaid,Cord of Sanctification,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,105 Armor; 25 Sta; 24 Int; 62 Healing; 21 Spell Dmg; 7 MP5,,Epoch Hunter
Restoration,Waist,PreRaid,Grasp of the Old God,Dungeon Drop,,Ahn'Qiraj,Normal,85 Armor; 15 Sta; 19 Int; 59 Healing; 20 Spell Dmg; 7 MP5,,C'Thun
